recipe_id;name;category;cuisine;cooking_method;difficulty;prep_time_minutes;cook_time_minutes;total_time_minutes;servings;calories_per_serving;rating;ingredients;instructions;author;date_created;is_vegetarian;is_vegan;is_gluten_free;is_dairy_free;is_full_meal;is_lunch;is_dinner;is_sweet
31;Gofre;Beverage;Spanish;Grilling;Hard;18;13;31;12;695;3.8;butter, onion, pepper, soda, alcohol, coffee, tea, juice, water, carrots, onions;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using grilling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Jake Martinez;2025-07-28;True;True;False;False;False;True;False;False
32;Guisantes;Main Course;French;Microwaving;Easy;55;168;223;12;476;3.7;pepper, vegetables, rice, chicken, beef, pasta, fish;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Rinse rice and cook with appropriate liquid ratio. Boil water and cook pasta according to package directions. Cook using microwaving method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Lauren Vazquez;2024-02-23;False;False;False;True;True;True;True;True
33;Gyozas;Appetizer;Thai;Boiling;Easy;26;164;190;11;442;4.9;butter, olives, nuts, dips, crackers, bread, cheese, spinach, tomatoes;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using boiling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Monica Kim;2024-08-28;False;True;False;True;False;True;True;False
34;Hamburguesa;Appetizer;Indian;Raw;Medium;16;124;140;8;270;4.6;oil, salt, garlic, bread, crackers;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Monica Gibson;2023-12-25;True;False;True;True;False;True;True;False
35;Hummus;Appetizer;Italian;Raw;Hard;32;148;180;4;518;3.8;oil, dips, bread, nuts, cheese, olives, crackers, potatoes;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Michelle Pennington;2025-08-24;False;False;True;False;False;True;True;False
36;Judías;Breakfast;Vietnamese;Sautéing;Easy;7;30;37;4;563;4.9;garlic, milk, fruits, bacon, cereal;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using sautéing method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Stacy Grimes;2025-05-24;False;False;False;False;True;True;False;False
37;Lasaña;Dessert;Mexican;Grilling;Hard;10;70;80;12;441;4.7;onion, sugar, flour, cream;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using grilling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Scott Fields;2024-12-18;False;True;False;False;True;False;False;True
38;Lentejas;Breakfast;Italian;Microwaving;Hard;24;73;97;3;757;4.4;garlic, bacon, fruits, milk, toast;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using microwaving method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;George Walker;2024-08-27;True;True;False;False;True;True;False;False
39;Nachos con guacamole;Salad;Chinese;Baking;Easy;5;86;91;5;660;4.1;oil, cucumbers, lettuce, cheese, dressing, nuts, tomatoes;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using baking method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Amber Durham;2025-01-26;True;True;True;False;False;True;False;False
40;Pasta boloñesa;Snack;Mexican;Slow Cooking;Hard;37;152;189;8;759;4.5;butter, vegetables, rice, chicken, pasta, fish, beef, lime, bell peppers, tomatoes, herbs, spices;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Rinse rice and cook with appropriate liquid ratio. Boil water and cook pasta according to package directions. Cook using slow cooking method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Denise Myers;2025-05-23;True;True;False;True;True;True;True;False
41;Pasta carbonara;Appetizer;American;Raw;Hard;24;35;59;11;636;3.4;pepper, dips, cheese, crackers, nuts, bread, olives, potatoes, mushrooms, spices;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Joseph Walker;2024-07-27;False;True;True;False;False;True;True;False
42;Pasta con atún;Appetizer;American;Raw;Easy;49;153;202;3;351;4.5;oil, garlic, crackers, dips, olives, nuts, bread, cheese, potatoes, mushrooms, onions, lime;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Justin Hart;2024-09-06;False;True;True;False;False;True;True;False
43;Pasta con pesto;Appetizer;Middle Eastern;Grilling;Medium;46;130;176;10;230;3.6;salt, oil, onion, crackers, dips, bread;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using grilling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Alexander Branch;2023-11-01;False;False;False;False;False;True;True;False
44;Pasta con soja texturizada;Lunch;Spanish;Roasting;Easy;37;117;154;2;600;3.9;butter, pepper, onion, chicken, pasta, vegetables, rice, fish;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Rinse rice and cook with appropriate liquid ratio. Boil water and cook pasta according to package directions. Cook using roasting method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Lauren Cook;2024-04-27;True;True;False;False;False;True;False;False
45;Pasta con tomate;Beverage;Spanish;Sautéing;Hard;11;99;110;8;486;3.4;garlic, oil, pepper;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using sautéing method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Richard Gonzales;2024-12-15;False;True;True;False;True;False;True;False
46;Pasta teriyaki;Breakfast;Middle Eastern;Roasting;Medium;13;174;187;11;754;3.3;butter, salt, onion, milk, cereal;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using roasting method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Sandra Smith;2024-01-05;True;False;True;True;True;False;True;False
47;Patatas bravas;Beverage;Greek;Microwaving;Hard;16;15;31;6;749;3.5;butter, soda, coffee, alcohol, water, tea, juice;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using microwaving method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Nathaniel Ford;2025-08-12;False;False;False;True;False;True;True;True
48;Patatas con queso;Breakfast;Chinese;Baking;Easy;53;90;143;4;329;3.7;pepper, cereal, toast, bacon, fruits;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using baking method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Emma Conley;2023-11-07;False;True;True;True;False;True;False;False
49;Patatas fritas;Dinner;Chinese;Roasting;Easy;28;139;167;3;742;4.7;garlic, onion, salt;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using roasting method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Melinda Williams;2025-09-27;False;False;True;False;False;False;True;True
50;Pisto;Snack;Mexican;Slow Cooking;Easy;33;73;106;2;657;3.3;pepper, garlic, butter, fish, vegetables, chicken;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Cook using slow cooking method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Alex Downs;2024-11-05;True;True;True;False;True;False;True;False
51;Pizza;Dessert;Japanese;Raw;Hard;16;132;148;1;326;4.3;pepper, sugar, eggs, cream, chocolate, flour, fruits, bell peppers, lime, onions;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Tamara King;2025-05-21;True;True;True;True;False;False;False;True
52;Pollo estilo coreano;Breakfast;Japanese;Frying;Easy;15;157;172;9;276;4.6;pepper, butter, toast, milk, bacon, eggs, cereal;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using frying method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Sarah Williams;2024-10-02;True;True;True;True;True;True;False;False
53;Preñaca;Salad;Mexican;Raw;Easy;43;140;183;1;662;4.5;pepper, nuts, dressing, lettuce, cucumbers, tomatoes, cheese, lemon, lime;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Alexander Tyler;2024-03-15;False;False;False;True;True;True;False;False
54;Quiche;Snack;Italian;Frying;Medium;56;20;76;4;742;3.2;garlic, oil, salt, fish, vegetables;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Cook using frying method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Carl Rodriguez;2025-02-05;True;True;True;True;True;True;True;True
55;Revuelto de setas;Appetizer;Indian;Grilling;Hard;6;38;44;11;493;3.7;oil, butter, cheese, olives, bread;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using grilling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Joseph Medina;2025-07-15;False;True;False;True;False;True;True;False
56;Salmorejo;Snack;Indian;Grilling;Hard;37;24;61;5;276;3.3;onion, garlic, beef, rice, pasta, fish, vegetables, chicken;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Rinse rice and cook with appropriate liquid ratio. Boil water and cook pasta according to package directions. Cook using grilling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Valerie Fields;2025-01-09;True;True;True;False;False;False;False;True
57;Sandwich;Main Course;Italian;Frying;Medium;15;97;112;4;417;3.1;salt, pasta, beef, rice;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Rinse rice and cook with appropriate liquid ratio. Boil water and cook pasta according to package directions. Cook using frying method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;John Perez;2024-09-24;False;False;True;True;True;True;True;False
58;Sopa de cebolla;Salad;Thai;Roasting;Hard;58;112;170;8;578;4.2;onion, dressing, nuts, tomatoes, cucumbers, cheese;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using roasting method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Stacey Davis;2025-01-21;False;True;True;False;False;True;True;False
59;Sopa de melón;Dessert;Thai;Sautéing;Easy;6;90;96;4;445;4.4;pepper, butter, sugar, cream, fruits, flour, eggs, chocolate;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using sautéing method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Brenda Garcia;2025-05-30;True;False;True;True;False;True;False;True
60;Sopa de pescado;Salad;Indian;Frying;Hard;54;154;208;10;164;4.0;butter, pepper, oil, tomatoes, dressing, cucumbers, lettuce, cheese, nuts, lemon, onions, lime;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using frying method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Alexander White;2024-06-04;False;False;False;False;False;True;False;False
61;Sopa de pollo;Beverage;Korean;Raw;Easy;38;19;57;5;164;4.7;salt, juice, tea, water;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Brian Mclaughlin;2025-04-20;False;True;False;False;False;True;True;False
62;Sopa de ternera;Beverage;Greek;Steaming;Easy;22;43;65;5;659;3.4;garlic, butter, alcohol, tea, juice, coffee, water, soda, carrots, onions, lemon;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using steaming method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Charles Ward;2025-04-24;True;True;True;True;False;False;False;True
63;Sopa de tomate;Dulces;Japanese;Steaming;Easy;47;42;89;12;637;4.7;garlic, pepper, salt;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using steaming method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Michael Warner;2024-07-06;False;True;False;False;False;True;True;True
64;Sopa de verduras;Soup;Thai;Grilling;Hard;8;35;43;8;175;4.5;pepper, salt, oil, grains;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using grilling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Charles Thompson;2024-03-07;False;False;True;False;False;True;True;False
65;Tortilla con setas y huevo revuelto;Snack;Vietnamese;Slow Cooking;Easy;7;117;124;10;596;3.1;butter, onion, garlic;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using slow cooking method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Robert Shea;2025-02-14;True;False;True;True;True;False;True;True
66;Tortilla de patata;Dinner;Vietnamese;Baking;Easy;7;62;69;12;412;4.4;salt, garlic, pasta, vegetables, rice;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Rinse rice and cook with appropriate liquid ratio. Boil water and cook pasta according to package directions. Cook using baking method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Heather Nunez;2024-03-13;False;False;False;False;True;True;True;False
67;Tortilla francesa;Salad;Korean;Raw;Medium;6;112;118;8;246;4.8;onion, garlic, pepper;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Darin Richards;2023-12-13;True;True;False;True;False;True;False;False
68;Tortitas;Dinner;Mediterranean;Slow Cooking;Hard;8;66;74;3;236;4.1;butter, onion, pasta, chicken, beef, vegetables, fish, rice, potatoes;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Rinse rice and cook with appropriate liquid ratio. Boil water and cook pasta according to package directions. Cook using slow cooking method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Brett Alexander;2024-10-08;True;True;True;True;True;False;True;False
69;Verduras a la plancha;Salad;Chinese;Slow Cooking;Hard;44;107;151;8;187;3.0;onion, pepper, lettuce;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using slow cooking method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Charles Sutton;2023-10-28;False;True;True;False;False;True;False;False
70;Verduras salteadas con soja;Beverage;Vietnamese;Roasting;Medium;58;164;222;6;507;4.9;pepper, salt, oil, coffee, juice, water, alcohol, tea, soda, bell peppers, carrots, onions;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using roasting method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Daniel Miller;2024-05-01;True;True;True;False;False;True;False;True
71;Wok;Beverage;American;Steaming;Easy;19;102;121;10;598;4.3;salt, coffee, juice, soda, tea;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using steaming method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Kristie Williams;2024-01-15;True;True;True;False;False;False;False;False
